Date,Steps,Distance (km),Elevation (m),Calories
27/8/14,240,0.22,3,13
26/8/14,1719,1.54,185,188
25/8/14,835,0.75,58,74
24/8/14,1041,0.92,58,83
23/8/14,954,0.86,117,108
22/8/14,2707,2.39,45,153
21/8/14,4723,4.23,113,295
20/8/14,4473,4.02,83,262
19/8/14,4662,4.17,94,278
18/8/14,1113,1.01,109,125
17/8/14,736,0.65,2,33
16/8/14,660,0.59,0,29
15/8/14,1408,1.26,33,84
14/8/14,1297,1.19,11,68
13/8/14,4375,4.03,58,245
12/8/14,5022,4.52,167,342
11/8/14,1601,1.44,88,129
10/8/14,698,0.62,32,52
9/8/14,1189,1.04,63,91
8/8/14,1552,1.38,53,92
7/8/14,4068,3.66,81,243
6/8/14,3513,3.22,39,191
5/8/14,5560,4.92,76,307
4/8/14,2270,2.06,31,126
3/8/14,561,0.5,38,51
2/8/14,1131,0.99,4,54
1/8/14,1884,1.7,90,143
31/7/14,5227,4.71,110,318
30/7/14,3961,3.57,75,231
29/7/14,3963,3.54,33,201
28/7/14,608,0.54,3,29
27/7/14,2652,2.36,12,123
26/7/14,1254,1.11,3,56
25/7/14,6074,5.74,124,369
24/7/14,4682,4.19,53,251
23/7/14,5358,4.75,109,317
22/7/14,4194,3.77,125,270
21/7/14,5104,4.74,59,278
20/7/14,2491,2.22,50,144
19/7/14,648,0.58,0,28
18/7/14,1240,1.12,14,67
17/7/14,3553,2.98,25,214
16/7/14,2154,1.77,48,156
15/7/14,818,0.67,7,51
14/7/14,3393,2.86,19,204
13/7/14,1552,1.28,12,97
12/7/14,1082,0.9,21,77
11/7/14,1828,1.55,9,111
10/7/14,3191,2.69,44,213
9/7/14,2441,2.01,24,158
8/7/14,4447,3.67,40,275
7/7/14,545,0.46,5,34
6/7/14,169,0.14,0,9
5/7/14,0,0,0,0
4/7/14,23,0.02,0,1
3/7/14,2749,2.32,73,211
2/7/14,3150,2.67,114,266
1/7/14,2736,2.22,7,152
30/6/14,3881,3.12,50,251
29/6/14,230,0.19,6,17
28/6/14,178,0.13,28,31
27/6/14,589,0.44,48,70
26/6/14,1046,0.83,65,109
25/6/14,2207,1.8,102,199
